Plant Name,Definition,Health Benefits,Traditional Use,Active Compounds,Dosage,Precautions,Sources
jackfruit,"The jackfruit or nangka (Artocarpus heterophyllus)[6] is a species of tree in the fig, mulberry, and breadfruit family (Moraceae).[7] The jackfruit is the largest tree fruit, reaching as much as 55 kg (120 pounds) in weight, 90 cm (35 inches) in length, and 50 cm (20 inches) in diameter.[7][8] A mature jackfruit tree produces some 200 fruits per year, with older trees bearing up to 500 fruits in a year.[7][9] The jackfruit is a multiple fruit composed of hundreds to thousands of individual flowers, and the fleshy petals of the unripe fruit are eaten by humans.[7][10]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/jackfruit
Insulin,"1A7F, 1AI0","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Insulin
pepper,"Pepper, especially black pepper, is a flowering vine whose fruit is dried and used as a spice with medicinal properties.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/pepper
Pepper,"Pepper, especially black pepper, is a flowering vine whose fruit is dried and used as a spice with medicinal properties.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Pepper
raktachandini,"Raktachandini, also known as Red Sandalwood (Pterocarpus santalinus), is a valuable medicinal tree native to India. Unlike white sandalwood, it has a deep red heartwood and is known for its therapeutic and cosmetic uses in Ayurveda and Unani medicine.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/raktachandini
Jasmine,"More than 200, see List of Jasminum species","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Jasmine
neem,"Azadirachta indica, commonly known as neem, margosa, nimtree or Indian lilac,[3] is a tree in the mahogany family Meliaceae. It is one of the two species in the genus Azadirachta. It is native to the Indian subcontinent and to parts of Southeast Asia, but is naturalized and grown around the world in tropical and subtropical areas. Its fruits and seeds are the source of neem oil. Nim is a Hindustani noun derived from Sanskrit nimba (निंब).[4][5][6]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/neem
castor,"Castor is a fast-growing, perennial flowering plant native to the southeastern Mediterranean Basin, Eastern Africa, and India. It is primarily cultivated for its oil-rich seeds, from which castor oil is extracted.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/castor
Nooni,"Nooni is a small evergreen tree native to Southeast Asia and Australasia. It produces a distinctive, strong-smelling fruit known for its traditional medicinal uses and health-promoting properties.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Nooni
Henna,"Henna is a reddish dye prepared from the dried and powdered leaves of the henna tree.[1] It has been used since at least the ancient Egyptian period as a hair and body dye, notably in the temporary body art of mehndi (or ""henna tattoo"") resulting from the staining of the skin using dyes from the henna plant. After henna stains reach their peak colour, they hold for a few days and then gradually wear off by way of exfoliation, typically within one to three weeks.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Henna
Mango,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica. It originated from the region between northwestern Myanmar, Bangladesh, and northeastern India.[1][2] M. indica has been cultivated in South and Southeast Asia since ancient times resulting in two types of modern mango cultivars: the ""Indian type"" and the ""Southeast Asian type"".[1][2] Other species in the genus Mangifera also produce edible fruits that are also called ""mangoes"", the majority of which are found in the Malesian ecoregion.[3]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Mango
doddapatre,"Doddapatre, commonly known as Indian Borage, is a herbaceous plant native to India and Southeast Asia. It has thick, fleshy leaves with a strong oregano-like scent and is used in traditional medicine and cooking.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/doddapatre
doddpathre,"Doddapatre, commonly known as Indian Borage, is a herbaceous plant native to India and Southeast Asia. It has thick, fleshy leaves with a strong oregano-like scent and is used in traditional medicine and cooking.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/doddpathre
amruta_Balli,"Amruta Balli, scientifically known as *Tinospora cordifolia*, is a perennial climbing shrub native to India and Southeast Asia. Revered in Ayurvedic medicine, it is known for its potent immunomodulatory and therapeutic properties.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/amruta_Balli
amruthaballi,"Amruta Balli, scientifically known as *Tinospora cordifolia*, is a perennial climbing shrub native to India and Southeast Asia. Revered in Ayurvedic medicine, it is known for its potent immunomodulatory and therapeutic properties.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/amruthaballi
betel_Nut,"The areca nut or betel nut is the fruit of the areca palm (Areca catechu). The palm is originally native to the Philippines, but was carried widely through the tropics by the Austronesian migrations and trade since at least 1500 BCE due to its use in betel nut chewing.[1] It is widespread in cultivation and is considered naturalized in much of the tropical Pacific (Melanesia and Micronesia), South Asia, Southeast Asia, and parts of east Africa. It is not to be confused with betel (Piper betle) leaves that are often used to wrap it. The practice of betel nut chewing, often together with other herbs as a stimulant drug, dates back thousands of years, and continues to the present day in many countries.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/betel_Nut
geranium,"Geranium is a genus of 422 species of annual, biennial, and perennial plants that are commonly known as geraniums or cranesbills. They are found throughout the temperate regions of the world and the mountains of the tropics, with the greatest diversity in the eastern part of the Mediterranean region.[1]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/geranium
rose,"A rose is either a woody perennial flowering plant of the genus Rosa, or the flower it bears. There are over three hundred species and tens of thousands of cultivars.[5] They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles.[6] Their flowers vary in size and shape and are usually large and showy, in colours ranging from white through pinks, reds, oranges and yellows. Most species are native to Asia, with smaller numbers native to Europe, North America, and Northwest Africa.[6] Species, cultivars and hybrids are all widely grown for their beauty and often are fragrant. Roses have acquired cultural significance in many societies. Rose plants range in size from compact, miniature roses to climbers that can reach seven meters in height.[6] Different species hybridize easily, and this has been used in the development of the wide range of garden roses.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/rose
Rose,"A rose is either a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears. There are over three hundred species and tens of thousands of cultivars.[5] They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles.[6] Their flowers vary in size and shape and are usually large and showy, in colours ranging from white through pinks, reds, oranges and yellows. Most species are native to Asia, with smaller numbers native to Europe, North America, and Northwest Africa.[6] Species, cultivars and hybrids are all widely grown for their beauty and often are fragrant. Roses have acquired cultural significance in many societies. Rose plants range in size from compact, miniature roses to climbers that can reach seven meters in height.[6] Different species hybridize easily, and this has been used in the development of the wide range of garden roses.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Rose
guava,"Guava, also known as the 'guava-pear', is a common tropical fruit cultivated in many tropical and subtropical regions.[2] The common guava Psidium guajava (lemon guava, apple guava) is a small tree in the myrtle family (Myrtaceae), native to Mexico, Central America, the Caribbean and northern South America.[2]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/guava
Gauva,"Guava is a tropical fruit-bearing shrub native to Central America. It is known for its sweet and tangy flavor, and it is rich in vitamin C, antioxidants, and dietary fiber. The fruit and leaves have been used in traditional medicine for various health benefits.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Gauva
hibiscus,"Hibiscus is a genus of flowering plants in the mallow family, Malvaceae. The genus is quite large, comprising several hundred species that are native to warm temperate, subtropical and tropical regions throughout the world. Member species are renowned for their large, showy flowers and those species are commonly known simply as ""hibiscus"", or less widely known as rose mallow. The genus includes both annual and perennial herbaceous plants, as well as woody shrubs and small trees.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/hibiscus
Hibiscus,"Hibiscus is a genus of flowering plants in the mallow family, Malvaceae. The genus is quite large, comprising several hundred species that are native to warm temperate, subtropical and tropical regions throughout the world. Member species are renowned for their large, showy flowers and those species are commonly known simply as ""hibiscus"", or less widely known as rose mallow. The genus includes both annual and perennial herbaceous plants, as well as woody shrubs and small trees.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Hibiscus
nithyapushpa,"Nithyapushpa, scientifically known as *Catharanthus roseus*, is an evergreen shrub native to Madagascar and widely cultivated in India and other tropical regions. It is known for its vibrant flowers and is used both ornamentally and medicinally.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/nithyapushpa
wood_sorel,"Wood Sorrel is a genus of flowering plants found worldwide, recognized by their trifoliate leaves and sour taste due to oxalic acid. Common species include Oxalis acetosella and Oxalis corniculata, often used in traditional medicine and culinary applications.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/wood_sorel
tamarind,"Tamarind is a leguminous tree bearing edible fruit that is indigenous to tropical Africa and naturalized in Asia.[6] The genus Tamarindus is monotypic, meaning that it contains only this species. It belongs to the family Fabaceae.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/tamarind
brahmi,"Brahmi is a writing system from ancient India[2] that appeared as a fully developed script in the 3rd century BCE.[3] Its descendants, the Brahmic scripts, continue to be used today across South and Southeastern Asia.[4][5][6]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/brahmi
bhrami,"Brahmi is a creeping herb native to wetlands across India and Southeast Asia. It is a key herb in Ayurvedic medicine, valued for its powerful cognitive-enhancing and stress-relieving effects.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/bhrami
sapota,"Manilkara zapota, commonly known as sapodilla (Spanish:),sapote, chicozapote, chicoo, chicle, naseberry, nispero, or
soapapple, among other names,: is an evergreen tree native to southern Mexico and Central America. An example natural occurrence is in coastal Yucatán, in the Petenes mangroves ecoregion, where it is a subdominant plant species.[7] It was introduced to the Philippines during Spanish colonization.[8] It is grown in large quantities in Mexico and in tropical Asia, including India, Pakistan, Thailand, Malaysia, Cambodia, Indonesia, Vietnam, Bangladesh, as well as in the Caribbean.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/sapota
basale,"Basale, scientifically known as Basella alba, is a fast-growing, soft-stemmed vine native to the Indian subcontinent and Southeast Asia. Commonly referred to as Malabar Spinach, it is a popular leafy vegetable in tropical regions, known for its thick, fleshy leaves and mild flavor.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/basale
avacado,"The avocado, alligator pear or avocado pear (Persea americana) is an evergreen tree in the laurel family (Lauraceae). It is native to the Americas and was first domesticated in Mesoamerica more than 5,000 years ago. It was prized for its large and unusually oily fruit.[3] The tree likely originated in the highlands bridging south-central Mexico and Guatemala.[4][5][6] Avocado trees have a native growth range from Mexico to Costa Rica.[7]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/avacado
ashwagandha,"Withania somnifera, known commonly as ashwagandha, is an evergreen shrub in the Solanaceae that is native to India, Nepal, the Middle East, and parts of Africa. Several other species in the genus Withania are morphologically similar.[3] Other common names include  Indian ginseng and winter cherry.[5]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/ashwagandha
nagadali,"Nagadali, scientifically known as Ruta graveolens, is a perennial herb native to the Mediterranean region. It is characterized by its aromatic, feathery leaves and small, yellow-green flowers. The plant is commonly used in traditional medicine and as an ornamental plant.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/nagadali
arali,"Nerium oleander, commonly known as oleander or rosebay,[3] is a shrub or small tree cultivated worldwide in temperate and subtropical areas as an ornamental and landscaping plant. It is the only species currently classified in the genus Nerium, belonging to subfamily Apocynoideae of the dogbane family Apocynaceae. It is so widely cultivated that no precise region of origin has been identified, though it is usually associated with the Mediterranean Basin.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/arali
ekka,"The Ekka is the annual agricultural show of Queensland, Australia. Its formal title is the Royal Queensland Show, and it is held at the Brisbane Showgrounds. It was originally called the Brisbane Exhibition, but it is more commonly known as the Ekka, short for ""exhibition"". It is run by The Royal National Agricultural and Industrial Association of Queensland (RNA).","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/ekka
ganike,"Ganike, scientifically known as Solanum nigrum, is an herbaceous plant native to Asia and Africa. It is commonly referred to as Black Nightshade and is used both as a vegetable and in traditional medicine for its various health benefits.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/ganike
honge,"Pongamia pinnata is a species of tree in the pea family, Fabaceae, native to eastern and tropical Asia, Australia, and the Pacific islands.[1][3][4][5] It is the sole species in genus Pongamia.[6] It is often known by the synonym Millettia pinnata. Its common names include Indian beech, Karanja, and Pongame oiltree.[4][5]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/honge
mint,"Mint, scientifically known as *Mentha*, is a genus of aromatic herbs in the Lamiaceae family. It is widely used for its fragrant leaves and has multiple varieties, including Peppermint (*Mentha piperita*) and Spearmint (*Mentha spicata*). Mint is native to Europe and Asia but is now cultivated globally.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/mint
catharanthus,"Catharanthus is a genus of flowering plants in the family Apocynaceae. Like the genus Vinca, they are known commonly as periwinkles.[3] There are eight known species. Seven are endemic to Madagascar,[4] though one, C. roseus, is widely naturalized around the world.[2][5] The eighth species, C. pusillus, is native to India and Sri Lanka.[6] The name Catharanthus comes from the Greek for ""pure flower"".[7]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/catharanthus
